CODIGO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,AREA,SECTOR,razon
05-09-0080-45,ESCUINTLA,SAN JOSE,"COLEGIO PREUNIVERSITARIO ""SAN PABLO""",CHÁCARA SAN JOAQUÍN INTERIOR NO. 5 COLONIA EL JARDIN,RURAL,PRIVADO,RURAL_SOLO_TOKENS_URBANOS
05-10-0034-45,ESCUINTLA,IZTAPA,"COLEGIO PARTICULAR MIXTO ""IXTAPAN""",5TA. AVE. 3-80 ZONA 1 BARRIO EL MORÓN.,RURAL,PRIVADO,RURAL_CON_ZONA_NUM
05-11-0041-45,ESCUINTLA,PALIN,INEB DE TELESECUNDARIA,COLONIA VALLE DE LAS FLORES,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
05-11-0047-45,ESCUINTLA,PALIN,COLEGIO INTEGRAL BILINGUE ENGLISH CLUB,FINCA NATIVIDAD NO. 102 BIFURCACIÓN AGRICOLA PANTIAGUATE,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
05-11-0063-45,ESCUINTLA,PALIN,LICEO CRISTIANO BILINGÜE SANTIDAD Y PODER,KM. 39.5 CARRETERA A PALIN,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
05-11-0112-45,ESCUINTLA,PALIN,"CENTRO EDUCATIVO PRIVADO ""SAN ESTEBAN""","4A. AVENIDA 4-16, ZONA 5",RURAL,PRIVADO,RURAL_CON_ZONA_NUM
05-11-0116-45,ESCUINTLA,PALIN,LICEO CRISTIANO BILINGÜE SANTIDAD Y PODER,KM. 39.5 CARRETERA AL PACIFICO,URBANA,PRIVADO,URBANA_KM_SIN_CONTEXTO
05-13-0044-45,ESCUINTLA,NUEVA CONCEPCION,INEB,CALLE BELICE BARRIO SANTA TERESA,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
05-13-0052-45,ESCUINTLA,NUEVA CONCEPCION,INEB DE TELESECUNDARIA,TROCHA 4 CALLE PALO BLANCO,RURAL,OFICIAL,RURAL_SOLO_TOKENS_URBANOS
05-13-0060-45,ESCUINTLA,NUEVA CONCEPCION,IEBC DE ENSEÑANZA,TROCHA 5 CALLE 11,RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
05-13-0116-45,ESCUINTLA,NUEVA CONCEPCION,"COLEGIO PARTICULAR MIXTO ""HERENCIA DE VIDA""",CASERÍO LOS CERRITOS,URBANA,PRIVADO,URBANA_SIN_EVIDENCIA
05-13-0766-45,ESCUINTLA,NUEVA CONCEPCION,IEBC TROCHA TRES,"TROCHA TRES, CALLE VIEJA NUEVA CONCEPCION ESCUINTLA",RURAL,COOPERATIVA,RURAL_SOLO_TOKENS_URBANOS
